Unit:(mV)
                     CH1         CH2
Frequency              ?  98.114 kHz
00001              -0.20    -6400.00
00002               0.60    -6400.00
00003               0.20    -7200.00
00004              -0.40    -6400.00
00005               1.00    -6400.00
00006               0.40    -6400.00
00007              -0.60    -6400.00
00008               0.60    -7200.00
00009               0.40    -6400.00
00010              -0.60    -6400.00
00011               0.60    -6400.00
00012               0.40    -6400.00
00013               0.40    -7200.00
00014               1.00    -7200.00
00015               0.00    -7200.00
00016              -0.20    -7200.00
00017               0.20    -7200.00
00018               0.40    -7200.00
00019               0.20    -7200.00
00020               0.20    -7200.00
00021               0.40    -7200.00
00022               0.40    -7200.00
00023               0.20    -7200.00
00024               0.40    -8000.00
00025               0.20    -8000.00
00026               0.40    -7200.00
00027               0.60    -7200.00
00028               0.20    -8000.00
00029               0.20    -7200.00
00030               0.20    -7200.00
00031               0.40    -7200.00
00032               0.40    -8000.00
00033               0.40    -8000.00
00034               0.20    -8000.00
00035               0.20    -8000.00
00036               0.40    -8000.00
00037               0.20    -8000.00
00038               0.20    -8000.00
00039               0.60    -8800.00
00040               0.60    -8000.00
00041               0.20    -8000.00
00042               0.40    -8000.00
00043               0.40    -8000.00
00044              -0.20    -8000.00
00045               0.40    -8000.00
00046               0.40    -8000.00
00047               0.20    -8000.00
00048               0.40    -8000.00
00049               0.20    -8000.00
00050               0.20    -8000.00
00051               0.80    -8800.00
00052               0.40    -9600.00
00053               0.20    -8800.00
00054               0.60    -8800.00
00055               0.40    -8800.00
00056               0.40    -8800.00
00057               0.00    -8800.00
00058               0.20    -8800.00
00059               0.40    -8800.00
00060               0.20    -9600.00
00061               0.40    -8800.00
00062               0.20    -8800.00
00063               0.40    -8800.00
00064               1.00    -9600.00
00065               0.20    -9600.00
00066               0.20    -9600.00
00067               0.40    -9600.00
00068               0.40    -9600.00
00069               0.40    -9600.00
00070               0.20    -8800.00
00071               0.40    -9600.00
00072               1.00    -9600.00
00073               0.40    -9600.00
00074               0.40    -9600.00
00075               0.40    -9600.00
00076               0.20    -9600.00
00077               0.60    -9600.00
00078               0.60    -9600.00
00079               0.20    -9600.00
00080               0.40    -9600.00
00081               1.00    -9600.00
00082              -0.20    -9600.00
00083               0.60    -9600.00
00084               0.40    -9600.00
00085               0.40    -9600.00
00086               0.20    -9600.00
00087               1.00    -9600.00
00088               0.40    -9600.00
00089               1.00    -9600.00
00090               0.60    -9600.00
00091               0.40    -9600.00
00092               0.60    -9600.00
00093               0.60   -10400.00
00094               0.20    -9600.00
00095               0.60   -10400.00
00096               0.40    -9600.00
00097               0.20   -10400.00
00098               0.40   -10400.00
00099               0.60    -9600.00
00100               0.20   -10400.00
00101               0.20   -10400.00
00102               0.60    -9600.00
00103               0.20    -9600.00
00104               0.60   -10400.00
00105               1.00   -10400.00
00106               0.60   -10400.00
00107               0.40   -10400.00
00108               0.60   -10400.00
00109               0.60   -10400.00
00110               0.20   -10400.00
00111               0.60   -10400.00
00112               0.20   -10400.00
00113               0.40   -10400.00
00114               0.60   -10400.00
00115               0.40    -9600.00
00116               0.40   -10400.00
00117               0.60   -10400.00
00118               0.60   -10400.00
00119               0.20   -10400.00
00120               0.60   -10400.00
00121               0.60   -11200.00
00122               0.60   -10400.00
00123               1.00   -10400.00
00124               0.40   -10400.00
00125               0.20   -10400.00
00126               0.40   -10400.00
00127               0.40   -10400.00
00128               0.40    -9600.00
00129               0.60   -10400.00
00130               0.60   -10400.00
00131               0.60   -10400.00
00132               0.40   -10400.00
00133               0.60   -10400.00
00134               1.00   -10400.00
00135               0.60   -10400.00
00136               0.60   -10400.00
00137               0.40   -10400.00
00138               0.60   -10400.00
00139               0.60   -11200.00
00140               0.60   -10400.00
00141               0.40   -10400.00
00142               0.60   -10400.00
00143               0.60   -10400.00
00144               0.40   -10400.00
00145               0.40   -10400.00
00146               0.60   -10400.00
00147               1.20   -10400.00
00148               0.40   -10400.00
00149               0.40   -10400.00
00150               1.00   -10400.00
00151               0.40   -10400.00
00152               0.40   -10400.00
00153               0.60   -10400.00
00154               0.60   -10400.00
00155               0.40   -10400.00
00156               1.00   -10400.00
00157               0.40   -10400.00
00158               0.40   -10400.00
00159               0.40   -11200.00
00160               0.60    -9600.00
00161               0.40   -10400.00
00162               0.60   -10400.00
00163               0.60   -10400.00
00164               0.40   -11200.00
00165               0.40   -10400.00
00166               0.40   -10400.00
00167               0.40   -10400.00
00168               0.60   -10400.00
00169               0.60   -10400.00
00170               0.60   -11200.00
00171               0.20   -10400.00
00172               0.80   -10400.00
00173               0.40   -10400.00
00174               0.40   -10400.00
00175               0.40   -10400.00
00176               0.40   -10400.00
00177               0.40   -10400.00
00178               0.40   -10400.00
00179               0.40   -10400.00
00180               0.60   -10400.00
00181               0.40   -10400.00
00182               0.40   -10400.00
00183               0.60   -10400.00
