Unit:(mV)
                     CH1         CH2
Frequency              ?  98.111 kHz
00001              -1.20    -6400.00
00002               0.40    -7200.00
00003               0.20    -7200.00
00004              -1.20    -7200.00
00005               0.20    -7200.00
00006               0.20    -7200.00
00007              -1.00    -7200.00
00008              -0.20    -7200.00
00009              -0.40    -7200.00
00010              -0.60    -7200.00
00011              -0.20    -7200.00
00012               0.20    -7200.00
00013              -0.40    -7200.00
00014              -0.60    -8000.00
00015              -0.20    -7200.00
00016              -0.20    -7200.00
00017              -0.40    -7200.00
00018              -0.60    -8000.00
00019              -0.20    -7200.00
00020              -0.40    -8000.00
00021              -0.20    -7200.00
00022              -0.40    -8000.00
00023              -0.60    -8000.00
00024              -0.60    -8000.00
00025               0.20    -8000.00
00026              -0.40    -8000.00
00027              -0.60    -8000.00
00028              -0.20    -8000.00
00029              -0.40    -8000.00
00030              -0.60    -8000.00
00031              -0.20    -8000.00
00032              -0.60    -8000.00
00033              -0.60    -8000.00
00034              -0.20    -8000.00
00035              -0.60    -8000.00
00036              -0.60    -8000.00
00037              -0.40    -8000.00
00038              -0.20    -8000.00
00039              -0.20    -8000.00
00040               0.00    -8000.00
00041              -0.20    -8800.00
00042              -0.40    -8000.00
00043              -0.60    -8000.00
00044               0.20    -8800.00
00045              -0.20    -8800.00
00046              -1.00    -8000.00
00047               0.20    -9600.00
00048              -0.40    -8800.00
00049              -1.00    -9600.00
00050              -0.20    -8000.00
00051               0.20    -9600.00
00052              -1.20    -8800.00
00053               0.20    -9600.00
00054               0.20    -9600.00
00055              -0.60    -9600.00
00056              -0.20    -9600.00
00057               0.20    -9600.00
00058              -0.40    -8800.00
00059              -0.40    -8800.00
00060              -0.40    -9600.00
00061              -0.40    -9600.00
00062               0.00    -8800.00
00063              -0.40    -9600.00
00064              -1.00    -9600.00
00065               0.40    -9600.00
00066              -0.80    -9600.00
00067               0.40    -9600.00
00068               1.20    -9600.00
00069              -1.20    -9600.00
00070              -0.60    -9600.00
00071               0.60    -9600.00
00072              -0.60    -9600.00
00073              -0.40    -9600.00
00074               0.60    -9600.00
00075               0.20    -9600.00
00076              -1.00    -9600.00
00077              -0.40    -9600.00
00078              -0.60    -9600.00
00079              -0.40   -10400.00
00080              -0.60    -9600.00
00081               0.00    -9600.00
00082               0.40    -9600.00
00083              -0.20   -10400.00
00084              -0.60    -9600.00
00085               0.20    -9600.00
00086              -0.40   -10400.00
00087              -1.00   -10400.00
00088              -0.20   -10400.00
00089               0.20    -9600.00
00090              -1.20   -10400.00
00091              -0.40    -9600.00
00092               0.60    -9600.00
00093              -0.60   -10400.00
00094              -0.60   -10400.00
00095               0.20   -10400.00
00096              -0.80   -10400.00
00097              -0.60   -10400.00
00098               0.20   -10400.00
00099              -0.40   -10400.00
00100              -0.40   -10400.00
00101              -0.20    -9600.00
00102              -0.60   -10400.00
00103              -0.60   -10400.00
00104              -0.20   -10400.00
00105              -0.60   -10400.00
00106              -0.60   -10400.00
00107              -0.40   -10400.00
00108              -0.40   -10400.00
00109              -0.60   -10400.00
00110              -0.20   -10400.00
00111              -0.20   -10400.00
00112              -0.40    -9600.00
00113              -0.20    -9600.00
00114              -0.60   -10400.00
00115              -0.40   -10400.00
00116              -0.40   -10400.00
00117              -0.20   -10400.00
00118               0.20   -10400.00
00119               0.20   -10400.00
00120              -0.40   -10400.00
00121              -0.20   -10400.00
00122               0.20   -10400.00
00123              -0.60   -10400.00
00124              -0.40   -11200.00
00125               0.00   -10400.00
00126               0.20   -10400.00
00127              -0.40   -10400.00
00128              -0.60   -10400.00
00129              -0.40   -11200.00
00130               0.00   -10400.00
00131              -0.40   -11200.00
00132              -0.20   -10400.00
00133               0.20   -10400.00
00134              -0.60   -10400.00
00135              -0.20   -11200.00
00136               0.20   -11200.00
00137              -0.20   -10400.00
00138              -0.40   -10400.00
00139              -0.20   -10400.00
00140              -0.20   -11200.00
00141              -0.80   -10400.00
00142               0.00   -10400.00
00143               0.20   -10400.00
00144              -0.60   -10400.00
00145               0.00   -10400.00
00146              -0.40   -11200.00
00147              -0.40   -10400.00
00148              -0.20   -10400.00
00149              -0.20   -11200.00
00150              -0.20   -10400.00
00151              -0.20   -10400.00
00152              -0.60   -10400.00
00153              -0.60   -10400.00
00154              -0.20   -10400.00
00155              -0.60   -10400.00
00156              -0.40   -10400.00
00157               0.00   -10400.00
00158              -0.80   -11200.00
00159              -0.40   -11200.00
00160               0.20   -10400.00
00161              -0.80   -10400.00
00162               0.00   -11200.00
00163               0.20   -10400.00
00164              -0.80   -10400.00
00165              -0.20   -11200.00
00166              -0.40   -10400.00
00167              -1.00   -10400.00
00168               0.00   -10400.00
00169              -0.60   -11200.00
00170              -0.60   -10400.00
00171               0.40   -10400.00
00172              -1.20   -10400.00
00173              -0.20   -10400.00
00174               0.40   -10400.00
00175              -1.20   -10400.00
00176              -0.20   -10400.00
00177               1.20   -10400.00
00178              -1.20   -10400.00
00179              -0.60   -10400.00
00180               1.20   -10400.00
00181              -1.40    -9600.00
00182              -1.40   -10400.00
00183               1.20   -10400.00
00184              -0.80   -10400.00
00185              -1.40   -10400.00
00186               1.40   -10400.00
00187              -0.40   -10400.00
00188              -2.00    -9600.00
00189               1.40   -10400.00
00190               0.40   -10400.00
00191              -1.20    -9600.00
00192               0.80   -10400.00
00193               0.20    -9600.00
00194              -1.80   -10400.00
00195               0.00   -10400.00
00196               0.40   -10400.00
00197              -0.40   -10400.00
00198              -0.20    -9600.00
00199              -0.20    -9600.00
00200              -0.60    -9600.00
00201              -0.60   -10400.00
00202              -0.20    -9600.00
00203               0.20    -9600.00
00204              -0.60    -9600.00
00205              -0.20   -10400.00
00206               0.40   -10400.00
00207              -0.60    -9600.00
00208              -0.60    -9600.00
00209               0.40    -9600.00
00210               0.20    -9600.00
00211              -1.00    -9600.00
00212              -0.20    -9600.00
00213               0.20   -10400.00
00214              -1.00    -9600.00
00215              -0.20    -9600.00
00216               0.20    -9600.00
00217              -0.60    -9600.00
00218              -0.40    -9600.00
00219              -0.20    -9600.00
00220              -0.60    -9600.00
00221              -0.40    -9600.00
00222              -0.20    -9600.00
00223              -0.60    -9600.00
00224              -0.20    -9600.00
00225              -0.60    -9600.00
00226              -0.60    -9600.00
00227               0.20    -9600.00
00228              -0.60    -9600.00
00229              -0.60    -9600.00
00230               0.40    -9600.00
00231              -0.80    -8800.00
00232              -1.20    -9600.00
00233              -0.20    -9600.00
00234              -0.60    -9600.00
00235              -0.60    -9600.00
00236              -0.20    -9600.00
00237              -0.40    -8800.00
00238              -0.60    -8800.00
00239              -0.20    -8000.00
00240              -0.20    -8800.00
00241              -0.40    -8800.00
00242              -0.40    -9600.00
00243              -0.20    -8000.00
00244              -0.40    -8800.00
00245              -0.60    -8000.00
00246              -0.60    -8000.00
00247              -0.40    -8000.00
00248              -0.40    -8000.00
00249              -0.60    -8000.00
00250              -0.20    -8000.00
00251               0.00    -8000.00
00252              -0.60    -8800.00
00253               0.20    -8000.00
00254              -0.20    -8000.00
00255              -0.20    -8000.00
00256               0.20    -8000.00
00257              -0.20    -8000.00
00258              -0.40    -8000.00
00259              -0.20    -8000.00
00260              -0.40    -8000.00
00261              -1.00    -8000.00
00262              -0.20    -8000.00
00263              -0.20    -8000.00
00264              -0.60    -8000.00
00265              -0.20    -8000.00
00266              -0.20    -8000.00
00267              -1.00    -8000.00
00268               0.00    -8000.00
00269              -0.20    -7200.00
00270              -0.60    -7200.00
00271               0.40    -7200.00
00272               0.20    -7200.00
00273              -1.00    -7200.00
00274              -0.20    -7200.00
00275              -0.60    -7200.00
00276              -1.20    -7200.00
00277              -0.40    -7200.00
00278              -0.20    -8000.00
00279              -1.00    -7200.00
00280              -0.20    -7200.00
00281              -0.40    -7200.00
00282              -0.60    -6400.00
00283               0.20    -7200.00
00284              -0.20    -7200.00
00285              -0.60    -7200.00
00286              -0.20    -6400.00
00287              -0.60    -6400.00
00288              -1.00    -6400.00
00289              -0.40    -6400.00
00290              -0.60    -6400.00
00291              -0.60    -6400.00
00292              -0.40    -6400.00
00293              -0.40    -6400.00
00294              -0.60    -6400.00
00295              -0.60    -6400.00
00296              -0.60    -6400.00
00297              -0.40    -6400.00
00298              -0.60    -6400.00
00299              -0.20    -6400.00
00300              -0.40    -6400.00
00301              -1.00    -6400.00
00302              -0.20    -5600.00
00303              -0.60    -6400.00
00304              -1.00    -5600.00
00305              -0.20    -5600.00
00306              -0.60    -6400.00
00307              -0.60    -5600.00
00308              -0.20    -5600.00
00309              -0.80    -4800.00
00310              -0.40    -5600.00
00311              -0.40    -5600.00
00312              -0.60    -5600.00
00313              -0.60    -4800.00
00314              -0.60    -4800.00
00315              -0.40    -5600.00
00316              -0.40    -4800.00
00317              -0.20    -4800.00
00318              -0.40    -4800.00
00319              -0.60    -4800.00
00320              -0.40    -4800.00
00321              -0.20    -4800.00
00322              -0.60    -4800.00
00323              -0.40    -4800.00
00324              -0.40    -4000.00
00325              -0.60    -4800.00
00326              -0.60    -4800.00
00327              -0.40    -4000.00
00328              -1.00    -4000.00
00329              -0.60    -4000.00
00330               0.00    -4800.00
00331              -0.60    -4000.00
00332               0.00    -4000.00
00333              -0.20    -4000.00
00334              -0.40    -4000.00
00335              -0.60    -4000.00
00336              -0.20    -4000.00
00337              -0.60    -4000.00
00338              -0.60    -4000.00
00339              -0.60    -4000.00
00340              -0.60    -3200.00
00341              -0.60    -4000.00
00342              -0.60    -3200.00
00343              -0.40    -3200.00
00344              -0.40    -4000.00
00345              -0.60    -4000.00
00346              -0.40    -3200.00
00347              -0.60    -3200.00
00348              -0.60    -3200.00
00349              -0.60    -3200.00
00350              -1.00    -3200.00
00351              -0.20    -3200.00
00352              -0.60    -3200.00
00353              -1.20    -3200.00
00354              -0.40    -2400.00
00355              -1.00    -2400.00
00356              -1.20    -2400.00
00357              -0.60    -3200.00
00358              -0.60    -2400.00
00359              -1.00    -2400.00
00360              -0.20    -2400.00
00361              -0.60    -3200.00
00362              -0.60    -2400.00
00363              -0.20    -1600.00
00364              -0.60    -1600.00
00365              -0.60    -1600.00
00366              -0.80    -2400.00
00367              -0.60    -1600.00
00368              -0.80    -1600.00
00369              -1.00    -1600.00
00370              -0.60     -800.00
00371              -0.80    -1600.00
00372              -0.60    -1600.00
00373              -0.60    -1600.00
00374              -0.40     -800.00
00375              -0.60     -800.00
00376              -0.40    -1600.00
00377              -0.20    -1600.00
00378              -0.60     -800.00
00379              -0.60    -1600.00
00380              -0.40     -800.00
00381              -1.00     -800.00
00382              -0.60     -800.00
00383              -0.20     -800.00
00384              -1.00     -800.00
00385              -0.60     -800.00
00386              -0.20     -800.00
00387              -0.40        0.00
00388              -0.40     -800.00
00389              -0.20     -800.00
00390              -0.40     -800.00
00391              -0.40        0.00
00392              -0.60     -800.00
00393              -0.40     -800.00
00394              -0.60        0.00
00395              -0.40        0.00
00396              -0.40     -800.00
00397              -0.60        0.00
00398              -0.60        0.00
00399              -0.40        0.00
00400              -0.80        0.00
00401              -0.40        0.00
00402              -0.20      800.00
00403              -0.60        0.00
00404              -0.20        0.00
00405               0.20        0.00
00406              -0.20      800.00
00407              -0.60      800.00
00408              -0.60        0.00
00409              -0.20      800.00
00410               4.20      800.00
00411              20.80      800.00
00412             -14.20      800.00
00413             -25.00      800.00
00414               7.40     1600.00
00415              25.00     1600.00
00416             -13.80      800.00
00417             -25.00     1600.00
00418              25.00     1600.00
00419              25.00     1600.00
00420             -25.00     1600.00
00421             -25.00     1600.00
00422              25.00     1600.00
00423             -25.00     1600.00
00424             -25.00     2400.00
00425              25.00     1600.00
00426              22.60     1600.00
00427             -25.00     2400.00
00428              25.00     1600.00
00429              25.00     2400.00
00430             -25.00     2400.00
00431              13.00     2400.00
00432               0.40     2400.00
00433              -0.60     2400.00
00434              24.40     3200.00
00435             -25.00     2400.00
00436               3.80     3200.00
00437              25.00     2400.00
00438             -25.00     2400.00
00439             -18.80     2400.00
00440              25.00     3200.00
00441             -25.00     2400.00
00442             -25.00     3200.00
00443              25.00     2400.00
00444             -25.00     3200.00
00445             -22.60     3200.00
00446              25.00     3200.00
00447             -25.00     3200.00
00448              -4.20     3200.00
00449              25.00     3200.00
00450             -25.00     3200.00
00451              17.40     3200.00
00452              25.00     3200.00
